IP Address,Owner,OS,Location,Team,Project
192.168.1.10,CompanyX,Windows,Office A,TeamAlpha,Project1
10.0.0.5,CompanyY,Windows,Office B,TeamBeta,Project2
172.16.0.20,CompanyZ,Windows,Office C,TeamGamma,Project3
192.168.2.15,CompanyX,Linux,Office A,TeamAlpha,Project1
10.0.1.7,CompanyY,Macintosh,Office D,TeamDelta,Project4
172.16.1.30,CompanyZ,Linux,Office E,TeamEpsilon,Project5
192.168.3.25,CompanyX,Windows,Office A,TeamAlpha,Project1
10.0.2.11,CompanyY,Windows,Office B,TeamBeta,Project2
172.16.2.40,CompanyZ,Linux,Office C,TeamGamma,Project3
192.168.4.12,CompanyX,Linux,Office A,TeamAlpha,Project1
10.0.3.8,CompanyY,Macintosh,Office D,TeamDelta,Project4
172.16.3.22,CompanyZ,Windows,Office E,TeamEpsilon,Project5
192.168.5.17,CompanyX,Windows,Office A,TeamAlpha,Project1
10.0.4.6,CompanyY,Windows,Office B,TeamBeta,Project2
172.16.4.18,CompanyZ,Linux,Office C,TeamGamma,Project3
192.168.6.29,CompanyX,Linux,Office A,TeamAlpha,Project1
10.0.5.9,CompanyY,Macintosh,Office D,TeamDelta,Project4
172.16.5.35,CompanyZ,Windows,Office E,TeamEpsilon,Project5
192.168.7.23,CompanyX,Windows,Office A,TeamAlpha,Project1
10.0.6.14,CompanyY,Windows,Office B,TeamBeta,Project2
172.16.6.27,CompanyZ,Linux,Office C,TeamGamma,Project3
